FIPS Code,State,Area name,"Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016",
00000,US,United States,"27,818,380","58,820,411","62,242,569","64,767,787",13.0,27.5,29.1,30.3,
01000,AL,Alabama,"496,036","1,009,593","972,703","783,076",15.2,31.0,29.8,24.0,
01001,AL,Autauga County,"4,528","12,519","10,451","8,968",12.4,34.3,28.7,24.6,
01003,AL,Baldwin County,"13,956","40,154","44,486","41,350",10.0,28.7,31.8,29.5,
01005,AL,Barbour County,"4,824","6,422","4,775","2,366",26.2,34.9,26.0,12.9,
01007,AL,Bibb County,"3,040","6,586","4,234","1,890",19.3,41.8,26.9,12.0,
01009,AL,Blount County,"7,882","13,003","13,436","5,151",20.0,32.9,34.0,13.1,
01011,AL,Bullock County,"2,452","2,504","1,625",752,33.4,34.1,22.2,10.3,
01013,AL,Butler County,"2,642","5,559","3,505","2,243",18.9,39.9,25.1,16.1,
01015,AL,Calhoun County,"13,894","25,228","25,653","13,886",17.7,32.1,32.6,17.7,
01017,AL,Chambers County,"4,708","9,401","6,767","2,978",19.7,39.4,28.4,12.5,
01019,AL,Cherokee County,"3,499","6,722","5,863","2,610",18.7,36.0,31.4,14.0,
01021,AL,Chilton County,"5,918","12,267","7,133","4,417",19.9,41.3,24.0,14.9,
01023,AL,Choctaw County,"1,998","3,520","2,800","1,130",21.1,37.3,29.6,12.0,
01025,AL,Clarke County,"3,227","7,680","4,049","2,066",19.0,45.1,23.8,12.1,
01027,AL,Clay County,"2,398","3,266","2,737","1,045",25.4,34.6,29.0,11.1,
01029,AL,Cleburne County,"2,676","3,936","2,559","1,195",25.8,38.0,24.7,11.5,
01031,AL,Coffee County,"5,145","10,157","11,120","8,192",14.9,29.3,32.1,23.7,
01033,AL,Colbert County,"6,344","13,337","11,521","7,069",16.6,34.8,30.1,18.5,
01035,AL,Conecuh County,"1,812","4,070","2,163",763,20.6,46.2,24.6,8.7,
01037,AL,Coosa County,"2,140","2,873","2,108",786,27.1,36.3,26.7,9.9,
01039,AL,Covington County,"5,051","9,115","8,373","3,953",19.1,34.4,31.6,14.9,
01041,AL,Crenshaw County,"2,071","3,680","2,401","1,399",21.7,38.5,25.1,14.6,
01043,AL,Cullman County,"10,050","19,784","18,058","8,431",17.8,35.1,32.1,15.0,
01045,AL,Dale County,"4,726","11,033","12,243","5,361",14.2,33.1,36.7,16.1,
01047,AL,Dallas County,"5,673","9,857","7,781","3,727",21.0,36.5,28.8,13.8,
01049,AL,DeKalb County,"12,981","16,259","12,808","5,392",27.4,34.3,27.0,11.4,
01051,AL,Elmore County,"7,238","19,476","16,016","12,220",13.2,35.4,29.1,22.2,
01053,AL,Escambia County,"5,035","11,189","6,543","2,995",19.5,43.4,25.4,11.6,
01055,AL,Etowah County,"12,582","23,334","23,956","11,824",17.5,32.5,33.4,16.5,
01057,AL,Fayette County,"2,452","4,609","3,075","1,670",20.8,39.0,26.0,14.1,
01059,AL,Franklin County,"5,092","7,678","5,565","2,593",24.3,36.7,26.6,12.4,
01061,AL,Geneva County,"4,196","6,762","5,654","2,193",22.3,36.0,30.1,11.7,
01063,AL,Greene County,"1,375","2,444","1,551",595,23.1,41.0,26.0,10.0,
01065,AL,Hale County,"1,903","4,377","2,514","1,435",18.6,42.8,24.6,14.0,
01067,AL,Henry County,"2,359","4,417","3,472","1,973",19.3,36.1,28.4,16.1,
01069,AL,Houston County,"10,684","22,738","22,476","14,875",15.1,32.1,31.8,21.0,
01071,AL,Jackson County,"7,615","15,270","9,565","4,669",20.5,41.1,25.8,12.6,
01073,AL,Jefferson County,"49,094","118,111","138,638","140,254",11.0,26.5,31.1,31.4,
01075,AL,Lamar County,"2,258","3,536","2,898","1,306",22.6,35.4,29.0,13.1,
01077,AL,Lauderdale County,"9,559","21,850","18,049","13,690",15.1,34.6,28.6,21.7,
01079,AL,Lawrence County,"5,261","9,340","6,411","2,415",22.5,39.9,27.4,10.3,
01081,AL,Lee County,"10,170","22,109","26,815","31,005",11.3,24.5,29.8,34.4,
01083,AL,Limestone County,"10,449","19,841","17,316","14,430",16.8,32.0,27.9,23.3,
01085,AL,Lowndes County,"1,805","2,699","1,781",880,25.2,37.7,24.9,12.3,
01087,AL,Macon County,"2,425","3,874","3,627","2,488",19.5,31.2,29.2,20.0,
01089,AL,Madison County,"21,757","49,507","69,267","96,340",9.2,20.9,29.2,40.7,
01091,AL,Marengo County,"2,208","5,505","3,943","2,023",16.1,40.2,28.8,14.8,
01093,AL,Marion County,"4,331","7,533","6,989","2,685",20.1,35.0,32.5,12.5,
01095,AL,Marshall County,"13,557","20,210","19,101","10,498",21.4,31.9,30.1,16.6,
01097,AL,Mobile County,"39,097","89,494","84,417","61,885",14.2,32.6,30.7,22.5,
01099,AL,Monroe County,"2,676","6,713","3,658","1,846",18.0,45.1,24.6,12.4,
01101,AL,Montgomery County,"21,741","38,102","43,017","47,212",14.5,25.4,28.7,31.5,
01103,AL,Morgan County,"14,363","24,668","25,423","17,579",17.5,30.1,31.0,21.4,
01105,AL,Perry County,"1,403","2,348","1,329",861,23.6,39.5,22.4,14.5,
01107,AL,Pickens County,"2,662","5,623","4,233","1,566",18.9,39.9,30.1,11.1,
01109,AL,Pike County,"3,932","6,411","4,569","4,706",20.0,32.7,23.3,24.0,
01111,AL,Randolph County,"3,547","5,678","3,975","2,399",22.7,36.4,25.5,15.4,
01113,AL,Russell County,"6,726","12,020","13,260","6,562",17.4,31.2,34.4,17.0,
01115,AL,St. Clair County,"9,919","21,695","18,769","9,671",16.5,36.1,31.3,16.1,
01117,AL,Shelby County,"11,714","29,259","40,459","57,585",8.4,21.0,29.1,41.4,
01119,AL,Sumter County,"1,657","3,443","1,678","1,500",20.0,41.6,20.3,18.1,
01121,AL,Talladega County,"11,304","19,975","17,384","7,330",20.2,35.7,31.0,13.1,
01123,AL,Tallapoosa County,"5,886","10,201","7,817","5,006",20.4,35.3,27.0,17.3,
01125,AL,Tuscaloosa County,"14,604","37,364","35,017","36,170",11.9,30.3,28.4,29.4,
01127,AL,Walker County,"9,786","16,706","14,330","4,811",21.4,36.6,31.4,10.5,
01129,AL,Washington County,"2,335","5,278","2,802","1,109",20.3,45.8,24.3,9.6,
01131,AL,Wilcox County,"1,499","3,342","1,759",841,20.1,44.9,23.6,11.3,
01133,AL,Winston County,"4,145","5,932","4,936","2,261",24.0,34.3,28.6,13.1,
02000,AK,Alaska,"36,032","130,511","168,631","135,525",7.7,27.7,35.8,28.8,
02010,AK,Aleutian Islands,,,,,,,,,
02013,AK,Aleutians East Borough,398,"1,070",773,304,15.6,42.0,30.4,11.9,
02016,AK,Aleutians West Census Area,520,"1,674","1,307",652,12.5,40.3,31.5,15.7,
02020,AK,Anchorage Municipality,"12,854","45,857","67,063","65,657",6.7,24.0,35.0,34.3,
02050,AK,Bethel Census Area,"1,815","4,315","2,288","1,085",19.1,45.4,24.1,11.4,
02060,AK,Bristol Bay Borough,48,226,251,124,7.4,34.8,38.7,19.1,
02068,AK,Denali Borough,57,351,516,579,3.8,23.4,34.3,38.5,
02070,AK,Dillingham Census Area,373,"1,041",914,496,13.2,36.9,32.4,17.6,
