FIPStxt,State,Area_Name,POVALL_2016
00000,US,United States,"44,268,996"
01000,AL,Alabama,"814,197"
01001,AL,Autauga County,"7,444"
01003,AL,Baldwin County,"24,005"
01005,AL,Barbour County,"6,787"
01007,AL,Bibb County,"4,099"
01009,AL,Blount County,"8,033"
01011,AL,Bullock County,"2,841"
01013,AL,Butler County,"4,880"
01015,AL,Calhoun County,"19,057"
01017,AL,Chambers County,"6,656"
01019,AL,Cherokee County,"4,273"
01021,AL,Chilton County,"7,960"
01023,AL,Choctaw County,"2,910"
01025,AL,Clarke County,"6,977"
01027,AL,Clay County,"2,495"
01029,AL,Cleburne County,"2,527"
01031,AL,Coffee County,"7,271"
01033,AL,Colbert County,"8,982"
01035,AL,Conecuh County,"3,464"
01037,AL,Coosa County,"1,801"
01039,AL,Covington County,"7,228"
01041,AL,Crenshaw County,"2,822"
01043,AL,Cullman County,"12,133"
01045,AL,Dale County,"9,936"
01047,AL,Dallas County,"13,987"
01049,AL,DeKalb County,"14,362"
01051,AL,Elmore County,"10,316"
01053,AL,Escambia County,"8,020"
01055,AL,Etowah County,"17,624"
01057,AL,Fayette County,"3,307"
01059,AL,Franklin County,"6,272"
01061,AL,Geneva County,"5,495"
01063,AL,Greene County,"2,845"
01065,AL,Hale County,"3,495"
01067,AL,Henry County,"3,159"
01069,AL,Houston County,"19,878"
01071,AL,Jackson County,"9,007"
01073,AL,Jefferson County,"98,463"
01075,AL,Lamar County,"2,545"
01077,AL,Lauderdale County,"13,739"
01079,AL,Lawrence County,"5,530"
01081,AL,Lee County,"28,139"
01083,AL,Limestone County,"11,511"
01085,AL,Lowndes County,"3,252"
01087,AL,Macon County,"5,183"
01089,AL,Madison County,"47,081"
01091,AL,Marengo County,"5,003"
01093,AL,Marion County,"5,386"
01095,AL,Marshall County,"19,703"
01097,AL,Mobile County,"79,364"
01099,AL,Monroe County,"5,472"
01101,AL,Montgomery County,"40,760"
01103,AL,Morgan County,"18,457"
01105,AL,Perry County,"3,066"
01107,AL,Pickens County,"4,756"
01109,AL,Pike County,"7,793"
01111,AL,Randolph County,"4,839"
01113,AL,Russell County,"11,108"
01115,AL,St. Clair County,"10,352"
01117,AL,Shelby County,"16,406"
01119,AL,Sumter County,"3,933"
01121,AL,Talladega County,"13,864"
01123,AL,Tallapoosa County,"8,111"
01125,AL,Tuscaloosa County,"34,384"
01127,AL,Walker County,"13,097"
01129,AL,Washington County,"3,018"
01131,AL,Wilcox County,"3,466"
01133,AL,Winston County,"4,061"
02000,AK,Alaska,"71,916"
02013,AK,Aleutians East Borough,487
02016,AK,Aleutians West Census Area,438
02020,AK,Anchorage Borough,"21,108"
02050,AK,Bethel Census Area,"4,502"
02060,AK,Bristol Bay Borough,100
02068,AK,Denali Borough,121
02070,AK,Dillingham Census Area,965
02090,AK,Fairbanks North Star Borough,"8,144"
02100,AK,Haines Borough,257
02105,AK,Hoonah-Angoon Census Area,397
02110,AK,Juneau Borough,"2,334"
02122,AK,Kenai Peninsula Borough,"6,835"
02130,AK,Ketchikan Gateway Borough,"1,245"
02150,AK,Kodiak Island Borough,991
02158,AK,Kusilvak Census Area,"3,033"
02164,AK,Lake and Peninsula Borough,325
02170,AK,Matanuska-Susitna Borough,"9,641"
02180,AK,Nome Census Area,"2,337"
02185,AK,North Slope Borough,"1,132"
02188,AK,Northwest Arctic Borough,"2,114"
02195,AK,Petersburg Borough,265
02198,AK,Prince of Wales-Hyder Census Area,"1,109"
02220,AK,Sitka Borough,690
02230,AK,Skagway Municipality,48
02240,AK,Southeast Fairbanks Census Area,804
02261,AK,Valdez-Cordova Census Area,852
02275,AK,Wrangell City and Borough,274
02282,AK,Yakutat Borough,101
02290,AK,Yukon-Koyukuk Census Area,"1,266"
04000,AZ,Arizona,"1,107,153"
04001,AZ,Apache County,"23,966"
04003,AZ,Cochise County,"25,424"
04005,AZ,Coconino County,"23,116"
04007,AZ,Gila County,"10,678"
04009,AZ,Graham County,"7,854"
04011,AZ,Greenlee County,"1,144"
04012,AZ,La Paz County,"4,976"
04013,AZ,Maricopa County,"624,923"
04015,AZ,Mohave County,"36,665"
04017,AZ,Navajo County,"30,379"
04019,AZ,Pima County,"180,513"
04021,AZ,Pinal County,"60,679"
04023,AZ,Santa Cruz County,"9,569"
04025,AZ,Yavapai County,"29,418"
04027,AZ,Yuma County,"37,850"
05000,AR,Arkansas,"497,388"
05001,AR,Arkansas County,"3,237"
05003,AR,Ashley County,"3,636"
05005,AR,Baxter County,"5,144"
05007,AR,Benton County,"23,131"
05009,AR,Boone County,"5,670"
05011,AR,Bradley County,"2,544"
05013,AR,Calhoun County,847
